Name,Formula,DeltaMass,MW,m/z,RT,Class of compounds,row_colors,Cluster,SilhouetteScore,HC_Cluster,HC_Silhouette,PCA_Silhouette,OPLS_Silhouette,Average_Silhouette
(±)9-HpODE,C18 H32 O4,0.28,312.23015,311.22287,11.666,Lipid,"(0.33999999999999997, 0.8287999999999999, 0.86)",1,0.5084123667751941,2,0.299322584641983,0.4448173892615226,0.5560253115381475,0.4333884284805511
4?-O-Methylnorbelladine,C16 H19 N O3,-0.24,273.13643,272.12915,8.876,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",1,0.4923904894201963,2,0.5427237667680748,0.6533319786669011,0.4449634393877981,0.5470063949409246
Glaurin,C16 H32 O4,0.62,288.23024,287.22296,9.932,Lipid,"(0.33999999999999997, 0.8287999999999999, 0.86)",1,0.4548412272954785,2,0.2987422467364578,0.5376743869563533,0.6005805058875399,0.47899904652678366
Heptose,C7 H14 O7,-0.85,210.07377,209.0665,0.959,Carbohydrate,"(0.7247999999999999, 0.86, 0.33999999999999997)",3,0.35350148255852587,2,0.6181620658217353,0.5560552348787302,0.6585629210797649,0.6109267405934101
"(10E,15Z)-9,12,13-Trihydroxy-10,15-octadecadienoic acid",C18 H32 O5,0.79,328.22523,327.21796,9.415,Lipid,"(0.33999999999999997, 0.8287999999999999, 0.86)",1,0.44150858179832986,2,0.21592083817144642,0.44943834341325384,0.5621062147512791,0.40915513211199306
(Z)-Aconitic Acid,C6 H6 O6,-0.82,174.01629,173.00902,1.129,carboxylic acid,"(0.7871999999999999, 0.33999999999999997, 0.86)",3,0.4215611718603858,2,0.6147754114328242,0.6045095543678101,0.7159074224130358,0.6450641294045566
Glutaric acid,C5 H8 O4,-1.16,132.04211,113.02427,0.867,Polyphenolic,"(0.33999999999999997, 0.5167999999999995, 0.86)",3,0.19187245920811183,2,0.5837494355135995,0.6289860349451559,0.7014539903235741,0.6380631535941098
Phthalyl-DL-glutamic Acid,C13 H11 N O6,-0.11,277.05861,276.05133,5.972,Amino Acid,"(0.86, 0.6832, 0.33999999999999997)",1,0.21805556453087688,2,0.5784615123351882,0.5855539673548185,0.46630960570293434,0.5434416951309803
(?)-Galanthamine,C17 H21 N O3,-0.84,287.1519,288.15918,9.939,Alkaloid,"(0.86, 0.3712, 0.33999999999999997)",1,0.5081621245194576,2,0.5108482351078009,0.631758963895773,0.5620338632802963,0.5682136874279567
Nootkatone,C15 H22 O,-0.26,218.16701,219.17429,10.769,Terpenoid,"(0.4752000000000003, 0.33999999999999997, 0.86)",1,0.4230309608599458,2,0.4783270265481838,0.5959822580370828,0.4599159452775326,0.5114084099542664
